,Label,SLC2A1.6513,CDCA5.113130,CENPA.1058,POLQ.10721,AGER.177,TROAP.10024,KIF14.9928,EXO1.9156,SERPINB5.5268,GPD1.2819,GINS1.9837,CKAP2L.150468,GPR87.53836,KIF23.9493,PLK1.5347,B4GALNT4.338707,CCNB1.891,RAD54L.8438,C19orf59.199675,CLEC3B.7123
TCGA.18.4083.01,Primary Tumor,21810.3448,1291.4214,198.4861,626.9975,60.9756,795.2061,580.3196,748.1077,9872.582,3.7847,1035.7443,245.5845,452.0606,1256.5181,899.4954,971.4045,1398.6543,938.6039,14.2977,83.2632
TCGA.18.4086.01,Primary Tumor,27882.0375,1141.2912,271.6606,342.9418,43.9567,528.2729,327.4975,367.4942,13808.7525,3.9601,798.7455,513.6206,1915.0883,1094.5624,1542.446,423.3311,1869.9435,370.6622,10.2962,72.4692
TCGA.18.4721.01,Primary Tumor,18737.782,1480.2632,218.985,264.0977,34.7744,435.1504,239.6617,408.8346,4984.0226,3.7594,366.5414,298.8722,270.6767,880.6391,1578.0075,202.0677,1242.4812,153.1955,16.9173,55.4511
TCGA.18.5592.01,Primary Tumor,31883.481,1440.9643,439.4119,479.9562,25.2032,785.6817,1100.5388,950.0502,7070.7698,0.7305,927.7692,516.1172,511.0036,757.9217,1035.8871,455.8488,1506.7117,187.0149,1.4611,11.3232
TCGA.18.5595.01,Primary Tumor,58144.0726,1255.814,385.9898,991.2082,727.4532,901.5882,544.5264,638.4005,9676.1202,28.928,975.0425,798.9223,1458.5933,1097.561,1846.852,842.5978,2769.7107,682.6432,56.1543,66.3642
TCGA.21.1070.01,Primary Tumor,7634.7264,1103.5033,463.4514,446.4898,442.0,973.2979,479.4153,317.2821,4821.0923,5.9865,829.623,505.3566,1233.2099,720.3702,963.8194,42.4041,1846.8216,424.5395,61.86,74.8307
TCGA.21.1071.01,Primary Tumor,24119.6941,738.557,231.8519,633.4922,48.7643,506.2618,640.5852,434.8886,2726.8093,4.4331,742.5468,564.7789,1381.8021,1201.3743,914.1084,203.48,2702.8704,222.0991,58.0738,15.0726
TCGA.21.1072.01,Primary Tumor,38458.0512,1159.6413,469.913,415.7608,55.221,558.9792,800.8828,590.3304,11180.2957,2.1376,702.1975,871.7795,1503.7929,809.7894,1508.7806,662.6522,2862.2298,254.7292,36.6953,21.3759
TCGA.21.1075.01,Primary Tumor,37595.0178,977.5801,309.2527,396.0854,31.3167,457.6512,431.3167,599.6441,11361.21,2.1352,933.452,521.3523,1745.9075,1030.9609,1029.8932,711.032,1977.9359,293.2384,16.726,40.5694
TCGA.21.1076.01,Primary Tumor,7112.8015,548.7941,402.5974,345.4545,1285.3432,333.9518,247.1243,189.6104,3063.0798,28.2004,312.8015,242.3006,2080.5195,817.8108,475.3247,235.6215,914.6568,408.5343,47.1243,220.4082
TCGA.21.1077.01,Primary Tumor,16041.092,659.6437,178.9317,235.905,189.1691,352.077,262.1661,359.1987,7416.7628,15.5786,511.8692,172.2551,2033.6788,780.2668,673.887,765.5784,1694.9549,318.6942,101.4836,83.6795
TCGA.21.1078.01,Primary Tumor,33539.4801,148.7684,34.2712,40.5024,153.8312,86.8465,36.2185,52.1858,6069.5161,3.1156,96.9721,70.4897,1291.403,135.1378,203.2908,100.8665,531.2044,72.8264,4.6734,58.4169
TCGA.21.1079.01,Primary Tumor,33586.0669,925.7399,258.5746,62.3998,33.7643,417.566,247.4623,243.6158,10067.3149,1.2822,480.3932,374.399,4635.9654,886.8469,737.2583,82.9148,1098.4079,193.6104,41.03,45.304
TCGA.21.1080.01,Primary Tumor,11583.1994,1151.1254,460.209,468.2476,147.1061,655.5466,399.1158,467.0418,2938.1029,4.4212,706.5916,447.7492,1375.8039,636.6559,1201.3666,473.0707,1518.4887,546.6238,43.0064,79.9839
TCGA.21.1081.01,Primary Tumor,18133.2644,1041.5321,230.973,1628.3865,186.2859,668.691,411.8749,572.5869,4341.9154,5.9224,1462.2906,527.0922,289.12,779.6012,2449.4444,556.9733,1970.0004,974.2322,68.1074,27.4583
TCGA.21.1082.01,Primary Tumor,6714.967,1006.5956,197.6662,361.238,185.4896,1063.8255,295.4845,223.2369,4995.2308,10.1471,1535.8701,117.7067,5022.4252,1117.4023,1133.6377,221.2075,1008.6251,744.3937,35.312,70.2182
TCGA.21.1083.01,Primary Tumor,16793.9776,1107.0863,192.5217,504.9807,63.9435,326.9759,536.7796,563.0483,852.695,11.0605,749.3485,378.1306,3204.4325,1013.7634,1260.205,735.5229,1383.253,453.4803,21.4297,78.4604
TCGA.21.5782.01,Primary Tumor,85160.6742,1432.5843,205.618,293.2584,167.4157,657.3034,217.9775,357.3034,2376.4045,16.8539,528.0899,251.6854,1720.2247,724.7191,1337.0787,489.8876,1216.8539,1069.6629,17.9775,95.5056
TCGA.21.5783.01,Primary Tumor,30912.4427,983.2782,595.1344,514.1381,35.1274,937.119,737.3861,493.2358,3431.7482,6.0965,1020.4378,855.542,757.4174,1475.643,2399.9884,1835.6268,2679.8467,562.3294,32.805,23.5151
TCGA.21.5784.01,Primary Tumor,27805.8167,365.8078,111.0251,103.5055,1725.5336,192.8564,81.8313,205.684,10746.4337,110.1404,275.1299,57.9454,3709.3885,298.1312,551.5869,105.2748,658.1887,75.1963,236.2048,566.6261
TCGA.21.5786.01,Primary Tumor,37450.5975,1256.6908,553.4422,260.8988,10.7726,738.5962,315.0985,350.7827,1723.9522,4.0397,1286.3154,951.355,1154.3511,1159.7374,976.2666,774.9537,1235.1456,292.5433,12.1192,48.14
TCGA.21.5787.01,Primary Tumor,2597.2222,947.7339,417.3977,219.6637,166.6667,889.2544,378.2895,529.2398,990.1316,31.0673,466.3743,204.6784,52.6316,776.3158,1259.1374,4.0205,1810.6725,259.8684,12.0614,101.2427
TCGA.21.A5DI.01,Primary Tumor,75022.2222,859.0278,222.2222,600.0,170.1389,865.2778,318.75,220.8333,3760.4167,4.1667,509.0278,369.4444,4079.1667,1079.8611,1087.5,379.1667,1337.5,380.5556,20.8333,27.7778
TCGA.22.0940.01,Primary Tumor,5188.4817,1255.7966,245.3254,395.288,709.4241,574.7943,275.991,453.2536,3413.6126,20.9424,906.1331,342.184,2329.8429,895.288,1054.5999,302.169,3215.4076,218.3994,28.0479,92.745
TCGA.22.0944.01,Primary Tumor,30840.658,1585.6314,371.6125,155.1299,85.5122,500.9934,667.5674,440.5945,19170.3091,2.5431,656.7591,568.7038,1618.374,833.1876,2179.7664,536.9149,1651.1166,129.063,13.9871,36.5573
TCGA.22.1000.01,Primary Tumor,18086.5523,447.15,66.4084,168.6774,1040.8412,200.1107,142.114,141.6713,3969.0094,206.3088,281.1289,182.4018,2119.7565,252.7947,422.3575,44.715,872.6065,120.8633,153.1821,324.9585
TCGA.22.1002.01,Primary Tumor,10581.7546,830.4573,131.5204,312.3609,7462.8426,391.2732,206.6749,275.2534,5006.6993,88.3065,367.7874,222.1755,907.021,597.0086,745.9085,529.3696,765.6365,444.351,165.3399,1194.4869
TCGA.22.1005.01,Primary Tumor,2866.5448,312.6143,98.7203,166.362,2082.2669,254.1133,98.7203,76.7824,195.6124,65.8135,223.0347,80.4388,201.0969,372.9433,354.6618,118.83,731.2614,127.9707,21.9378,340.0366
TCGA.22.1011.01,Primary Tumor,36350.9642,510.7438,225.8953,387.8788,99.7245,361.4325,285.3994,403.8567,4270.5234,10.4683,386.2259,182.9201,1577.4105,495.8678,812.6722,152.6171,1203.8567,419.2837,19.2837,212.6722
TCGA.22.1012.01,Primary Tumor,26212.02,2456.8726,476.906,392.877,151.9199,1284.9193,664.4407,753.478,6669.4491,10.0167,872.5654,498.0523,509.182,1122.9827,1691.7084,824.1514,2643.2944,526.4329,40.0668,105.1753
TCGA.22.1016.01,Primary Tumor,9560.9362,766.3438,155.7708,178.7732,1905.569,486.2793,305.8918,313.9629,637.2074,143.2607,481.0331,194.1082,590.799,698.9508,769.1687,548.8297,874.092,271.9935,328.8943,468.9266
TCGA.22.1017.01,Primary Tumor,6815.2289,800.0,137.6386,105.253,3870.0723,601.0602,218.2169,135.7108,373.2048,28.5301,341.2048,175.0361,6.1687,379.759,719.0361,314.2169,1624.6747,90.988,82.506,193.9277
TCGA.22.4591.01,Primary Tumor,17225.935,2016.5543,493.5622,466.5849,246.168,731.7597,258.1239,532.1888,1449.4175,5.5181,889.6383,624.157,767.9338,965.0521,1166.1557,699.2643,938.6879,415.6959,19.9264,116.1864
TCGA.22.4593.11,Solid Tissue Normal,338.6936,51.8673,6.2241,7.5208,21308.6514,7.2614,9.5955,17.8942,1.0373,1289.6809,62.2408,14.5228,1.0373,56.7947,49.0146,0.5187,114.3674,13.2262,2891.8625,2731.0738
TCGA.22.4593.01,Primary Tumor,13844.474,2396.2716,290.2796,365.3795,22.9028,559.787,694.2743,451.3981,2537.6831,6.6578,585.3529,450.3329,924.1012,1516.6445,2906.5246,748.6019,2029.8269,508.3888,15.1798,66.5779
TCGA.22.4594.01,Primary Tumor,1113.2488,765.1946,136.8605,70.8352,52.0332,290.7739,118.0586,397.4639,692.6104,5.6843,943.5942,176.6506,3.9353,255.3564,536.0735,587.6694,1972.8902,167.9056,68.6489,147.3546
TCGA.22.4595.01,Primary Tumor,33274.74,1475.0084,637.7055,373.7001,152.2979,604.8306,337.1352,221.7377,3749.7484,9.0574,855.4176,648.7756,1781.2814,866.1523,2518.2825,124.7903,1918.1483,309.6276,43.2741,64.4079
TCGA.22.4596.01,Primary Tumor,3827.4626,412.301,102.1059,65.0548,890.5184,154.2359,116.3232,149.066,230.0613,56.8691,214.1208,158.975,636.3307,208.9509,625.1292,302.871,943.9409,74.9638,149.9276,293.8237
TCGA.22.4599.01,Primary Tumor,28092.6192,1030.1281,470.652,297.6182,19.6105,1157.0195,545.6333,532.9442,1580.3757,4.6142,732.5099,652.9143,998.982,930.922,1507.7014,317.2287,2354.4137,243.4009,16.1498,36.9139
TCGA.22.4601.01,Primary Tumor,28303.8842,743.3359,194.9733,273.4196,535.4151,460.7768,167.5552,218.5834,5821.7822,10.6626,318.3549,246.7631,881.9497,702.2087,872.0487,980.198,698.4006,465.3465,23.6101,67.0221
TCGA.22.4604.01,Primary Tumor,22276.0736,795.7055,215.3374,264.1104,32.2086,511.6564,224.2331,289.8773,10134.0491,14.1104,1765.3374,162.2699,1046.6258,687.1166,646.0123,586.8098,1040.184,348.1595,21.1656,35.2761
TCGA.22.4605.01,Primary Tumor,18100.2125,427.849,126.4523,189.1189,1025.4201,222.6904,240.9681,175.3174,8327.2019,43.6428,227.5396,203.6666,1145.9041,656.8806,531.9203,447.2458,344.2935,110.7857,164.1269,549.4521
TCGA.22.4607.01,Primary Tumor,14485.2777,683.1905,323.5184,107.7152,62.2438,363.0265,108.8334,317.1823,11364.1446,14.536,1235.9299,286.9922,4290.3466,636.9735,1231.4573,137.1599,1395.8256,270.5926,158.7775,70.4435
TCGA.22.4609.11,Solid Tissue Normal,296.7877,23.0447,2.095,7.6816,37358.9385,2.4441,3.4916,5.2374,14.6648,470.3212,15.3631,6.6341,2.7933,52.0251,11.1732,1.3966,66.3408,4.1899,707.7514,2884.0782
TCGA.22.4609.01,Primary Tumor,14849.1014,797.8976,129.5354,350.9664,2343.1672,264.4964,299.4235,235.334,9314.6829,42.3872,503.8996,274.3303,993.218,595.117,882.333,186.5039,526.6192,119.7016,94.2692,385.8935
